city,companyFullName,education,financeStage,jobNature,positionAdvantage,positionName,salary,workYear
深圳,印孚瑟斯技术（中国）有限公司,大专,上市公司,全职,"500强,外企,福利好,美女多",python开发工程师,12k-15k,3-5年
北京,北京奇安信科技有限公司,本科,不需要融资,全职,平台好；福利好；技术氛围好,360企业安全-Python高级开发工程师,15k-30k,3-5年
西安,上海久耶供应链管理有限公司,本科,B轮,全职,"五险一金,补充公积金,绩效奖金,带薪年假",高级研发工程师（Python）,10k-15k,3-5年
廊坊,智线云科技（北京）有限公司,本科,A轮,全职,"五险一金,带薪年假",Python中级工程师,8k-10k,1-3年
北京,上海理想信息产业（集团）有限公司,大专,不需要融资,全职,"云计算,人工智能,私有云,热门技术",高级python研发工程师,16k-20k,5-10年
北京,店商互联（北京）科技发展有限公司,本科,B轮,全职,"五险一金,餐补,交通补,生日福利",Python高级开发工程师,15k-25k,3-5年
上海,上海谷露软件有限公司,本科,A轮,全职,"工程师文化,大牛,高薪",Python工程师,15k-25k,1-3年
北京,便利蜂商贸有限公司,本科,不需要融资,全职,扁平化,python开发,15k-30k,3-5年
苏州,苏州有推信息科技有限公司,不限,未融资,全职,海外资源,Python中级工程师,5k-10k,1-3年
北京,金色家园网络科技有限公司,本科,不需要融资,全职,"股票期权,绩效奖金",中级python工程师,15k-25k,3-5年
北京,北京友缘在线网络科技股份有限公司,本科,不需要融资,全职,福利待遇好，发展空间大,Python 资深开发,20k-30k,5-10年
上海,上海竞界科技有限公司,本科,不需要融资,全职,公司位于市中心，提供免费住宿，不加班,高级python工程师,20K-30K,3-5年
上海,上海唯链信息科技有限公司,大专,A轮,全职,"五险一金,不打卡,免费午餐",python高级研发,20k-35k,3-5年
北京,北京好巧国际旅行社有限公司,大专,B轮,全职,"高增长,期权激励,弹性工作,百万医疗",Linux C++/Python高级研发工程师,25k-35k,5-10年
北京,京东金融,本科,上市公司,全职,年终奖，带薪年假，班车，午餐晚餐,Python开发工程师-pass平台方向,25k-50k,5-10年
武汉,武汉安天信息技术有限责任公司,本科,未融资,全职,"弹性工作,试用不打折,员工旅游,周末双休",python开发工程师,7k-13k,1-3年
北京,北京优虎商务服务有限公司,本科,B轮,全职,"NLP,算法,高效团队,机器学习",Python研发工程师,15k-30k,不限
郑州,大河网络传媒有限公司,本科,不需要融资,全职,五险 双休,Python,5k-10k,1-3年
深圳,广州赛意信息科技股份有限公司,不限,上市公司,全职,基本薪资+补助+年终奖，年度体检+旅游；,python工程师,15k-25k,不限
珠海,深圳市比量科技传媒有限公司珠海分公司,大专,未融资,全职,五险一金、五天八小时、节日福利、生日礼品,Python研发工程师,5k-10k,1-3年
北京,北京格上添富科技发展有限公司,本科,不需要融资,全职,弹性工作，扁平化管理，零食水果,Python研发工程师,13k-25k,3-5年
北京,金色家园网络科技有限公司,本科,不需要融资,全职,"股票期权,绩效奖金",高级python工程师,18k-30k,5-10年
上海,上海勃池信息技术有限公司,本科,天使轮,全职,"年底双薪,地铁周边,期权激励,弹性工作",Python开发工程师,10k-20k,1-3年
成都,成都路行通信息技术有限公司,本科,不需要融资,全职,"高绩效奖励,多维度发展,完善福利,人性化管理",中级python研发工程师,8k-15k,3-5年
北京,北京中铁信科技有限公司,本科,不需要融资,全职,福利好，前景好。平台好。,Python中级研发工程师,14k-23k,3-5年
长沙,长沙辰运软件有限公司,不限,不需要融资,全职,"五险一金,年底双薪,交通补助,餐补",Python工程师,10k-15k,不限
杭州,京东金融,本科,上市公司,全职,餐补+年终奖+良好的晋升空间,Python开发工程师,15k-25k,3-5年
北京,北京鱼行天下网络科技有限公司,本科,B轮,全职,"氛围轻松,有成就感,成长空间大",Python工程师,15k-30k,1-3年
北京,上海微创软件股份有限公司北京分公司,本科,不需要融资,全职,六险一金 带薪年假 微软办公 弹性工作,高级Python工程师,10k-15k,3-5年
深圳,深圳市乐易网络有限公司,本科,A轮,全职,"海外手游,鹅厂大神,高配团队",Python,15k-30k,3-5年
上海,深圳狗尾草智能科技有限公司,本科,A轮,全职,"五险一金,年终多薪,车补餐补,项目奖金",高级Python开发工程师,15k-30k,5-10年
北京,混沌时代（北京）教育科技有限公司,本科,不需要融资,全职,"福利待遇好,超棒团队,弹性工作",高级python开发工程师,20k-40k,3-5年
深圳,深圳市瑞云科技有限公司,大专,A轮,全职,"五险一金,多次调薪,周末双休,年终奖",Python高级研发工程师,10k-15k,3-5年
上海,上海思华科技股份有限公司,本科,D轮及以上,全职,六险一金 带薪病事假,云计算开发工程师（Python）,12k-24k,3-5年
深圳,深圳市博奥特科技有限公司,大专,未融资,全职,"晋升机会大,五险一金,公积金",高级python开发工程师,13k-25k,5-10年
