序号,电影名,年份,类型,导演,评分
62,机器人总动员,2008,喜剧/爱情/科幻,安德鲁·斯坦顿,豆瓣9.3/IMDB8.4
63,美国丽人,1999,剧情/家庭,萨姆·门德斯,豆瓣8.4/IMDB8.4
64,萤火虫之墓,1988,剧情/动画/战争,高x勋,豆瓣8.7/IMDB8.5
65,异形2,1986,动作/科幻/惊悚,詹姆斯·卡梅隆,豆瓣7.8/IMDB8.4
66,公民凯恩,1941,剧情/悬疑,奥逊·威尔斯,豆瓣8.5/IMDB8.4
67,西北偏北,1959,动作/悬疑/犯罪,阿尔弗雷德·希区柯克,豆瓣8.1/IMDB8.4
68,迷魂记,1958,爱情/悬疑/惊悚,阿尔弗雷德·希区柯克,豆瓣8.5/IMDB8.4
69,老男孩,2003,剧情/悬疑/惊悚,朴赞郁,豆瓣8.2/IMDB8.4
70,幽灵公主,1997,动画/奇幻/冒险,宫崎骏,豆瓣8.7/IMDB8.4
71,从海底出击,1981,剧情/历史/战争,沃尔夫冈·彼德森,豆瓣9.0/IMDB8.4
72,M就是凶手,1931,剧情/惊悚/犯罪,弗里茨·朗,豆瓣8.3/IMDB8.4
73,星球大战3：绝地归来,1983,动作/科幻/奇幻,理查德·马昆德,豆瓣8.3/IMDB8.4
74,天使爱美丽,2001,喜剧/爱情,让-皮埃尔·热内,豆瓣8.8/IMDB8.4
75,美国往事,1984,剧情/犯罪,赛尔乔·莱翁内,豆瓣9.1/IMDB8.4
76,玩具总动员3,2010,喜剧/动画/奇幻,李·昂克里奇,豆瓣8.8/IMDB8.4
77,控方证人,1957,剧情/悬疑/犯罪,比利·怀德,豆瓣9.5/IMDB8.4
78,落水狗,1992,惊悚/犯罪,昆汀·塔伦蒂诺,豆瓣8.2/IMDB8.4
79,勇敢的心,1995,剧情/动作/传记,梅尔·吉布森,豆瓣8.8/IMDB8.4
80,发条橙,1971,剧情/科幻/犯罪,斯坦利·库布里克,豆瓣8.4/IMDB8.4
81,双重赔偿,1944,惊悚/犯罪/黑色电影,比利·怀德,豆瓣8.5/IMDB8.4
82,出租车司机,1976,剧情/犯罪,马丁·斯科塞斯,豆瓣8.4/IMDB8.4
83,梦之安魂曲,2000,剧情,达伦·阿伦诺夫斯基,豆瓣8.7/IMDB8.4
84,杀死一只知更鸟,1962,剧情/悬疑/犯罪,罗伯特·马利根,豆瓣8.4/IMDB8.4
85,阿拉伯的劳伦斯,1962,剧情/传记/历史,大卫·里恩,豆瓣8.6/IMDB8.4
86,疯狂的麦克斯4：狂暴之路,2015,动作/科幻/冒险,乔治·米勒,豆瓣8.5/IMDB8.1
87,暖暖内含光,2004,剧情/爱情/奇幻,米歇尔·冈瑞,豆瓣8.4/IMDB8.4
88,全金属外壳,1987,剧情/战争,斯坦利·库布里克,豆瓣8.4/IMDB8.3
89,骗中骗,1973,剧情/喜剧/犯罪,乔治·罗伊·希尔,豆瓣8.7/IMDB8.4
90,偷自行车的人,1948,剧情/犯罪,维托里奥·德·西卡,豆瓣8.9/IMDB8.4
91,莫扎特传,1984,剧情/音乐/传记,米洛斯·福尔曼,豆瓣8.6/IMDB8.4
92,雨中曲,1952,喜剧/爱情/歌舞,斯坦利·多南,豆瓣8.9/IMDB8.4
93,巨蟒与圣杯,1975,喜剧/冒险,特瑞·吉列姆,豆瓣8.0/IMDB8.3
94,偷拐抢骗,2000,喜剧/犯罪,盖·里奇,豆瓣8.5/IMDB8.3
95,2001太空漫游,1968,剧情/科幻/悬疑,斯坦利·库布里克,豆瓣8.5/IMDB8.3
96,寻子遇仙记,1921,剧情/喜剧/家庭,查理·卓别林,豆瓣9.1/IMDB8.4
97,黄昏双镖客,1965,西部,赛尔乔·莱翁内,豆瓣8.7/IMDB8.3
98,罗生门,1950,剧情/悬疑/犯罪,黑泽明,豆瓣8.7/IMDB8.4
99,洛城机密,1997,剧情/悬疑/惊悚,柯蒂斯·汉森,豆瓣8.6/IMDB8.3
100,彗星美人,1950,剧情,约瑟夫·L·曼凯维奇,豆瓣8.5/IMDB8.4
101,玩具总动员,1995,喜剧/动画/家庭,约翰·拉塞特,豆瓣8.0/IMDB8.3
102,桃色公寓,1960,剧情/喜剧/爱情,比利·怀德,豆瓣8.7/IMDB8.3
103,无耻混蛋,2009,剧情/犯罪,昆汀·塔伦蒂诺,豆瓣8.3/IMDB8.3
104,碧血金沙,1948,剧情/动作/西部,约翰·休斯顿,豆瓣8.6/IMDB8.3
105,一次别离,2011,剧情/家庭,阿斯哈·法哈蒂,豆瓣8.7/IMDB8.4
106,夺宝奇兵3,1989,动作/冒险,史蒂文·斯皮尔伯格,豆瓣8.1/IMDB8.3
107,用心棒,1961,剧情/动作/惊悚,黑泽明,豆瓣8.7/IMDB8.4
108,大都会,1927,剧情/科幻/冒险,弗里茨·朗,豆瓣8.9/IMDB8.3
109,第三人,1949,悬疑/惊悚/黑色电影,卡罗尔·里德,豆瓣8.2/IMDB8.3
110,蝙蝠侠：侠影之谜,2005,剧情/动作/科幻,克里斯托弗·诺兰,豆瓣8.1/IMDB8.3
111,热情如火,1959,喜剧,比利·怀德,豆瓣8.7/IMDB8.3
112,疤面煞星,1983,剧情/惊悚/犯罪,布莱恩·德·帕尔玛,豆瓣8.2/IMDB8.3
