马克斯·奥菲尔斯,43,一封陌生女子的来信,剧情/爱情/音乐,1948,豆瓣7.9/IMDB8.0
斯坦利·库布里克,42,奇爱博士,剧情/喜剧,1964,豆瓣8.7/IMDB8.5
霍华德·霍克斯,41,赤胆屠龙,剧情/喜剧/爱情,1959,豆瓣8.3/IMDB8.1
梅雅·黛伦,40,午后的迷惘,短片,1943,豆瓣8.5/IMDB8.0
D·W·格里菲斯,39,一个国家的诞生,剧情/爱情/历史,1915,豆瓣8.0/IMDB6.9
史蒂文·斯皮尔伯格,38,大白鲨,剧情/惊悚/灾难,1975,豆瓣7.6/IMDB8.1
道格拉斯·塞克,37,春风秋雨,剧情/爱情,1959,豆瓣7.9/IMDB7.9
乔治·卢卡斯,36,星球大战,动作/科幻/奇幻,1977,豆瓣8.3/IMDB8.7
比利·怀德,35,双重赔偿,惊悚/犯罪/黑色电影,1944,豆瓣8.5/IMDB8.4
维克多·弗莱明,34,绿野仙踪,歌舞/奇幻/冒险,1939,豆瓣8.1/IMDB8.1
弗朗西斯·福特·科波拉,33,窃听大阴谋,剧情/悬疑/惊悚,1974,豆瓣8.0/IMDB7.9
普莱斯顿·斯特奇斯,32,淑女伊芙,喜剧/爱情/犯罪,1941,豆瓣7.7/IMDB8.0
约翰·卡索维茨,31,受影响的女人,剧情/爱情,1974,豆瓣8.3/IMDB8.2
比利·怀德,30,热情如火,喜剧,1959,豆瓣8.7/IMDB8.3
马丁·斯科塞斯,29,愤怒的公牛,剧情/动作/传记,1980,豆瓣8.3/IMDB8.3
昆汀·塔伦蒂诺,28,低俗小说,剧情/犯罪,1994,豆瓣8.7/IMDB8.9
斯坦利·库布里克,27,巴里·林登,剧情/爱情/战争,1975,豆瓣8.6/IMDB8.1
查尔斯·伯内特,26,杀羊人,剧情,1977,豆瓣7.2/IMDB7.5
斯派克·李,25,为所应为,剧情,1989,豆瓣8.0/IMDB7.9
比利·怀德,24,桃色公寓,剧情/喜剧/爱情,1960,豆瓣8.7/IMDB8.3
伍迪·艾伦,23,安妮·霍尔,剧情/喜剧/爱情,1977,豆瓣8.5/IMDB8.1
埃里克·冯·施特罗海姆,22,贪婪,剧情,1924,豆瓣8.4/IMDB7.9
大卫·林奇,21,穆赫兰道,剧情/悬疑/惊悚,2001,豆瓣8.4/IMDB8.0
马丁·斯科塞斯,20,好家伙,剧情/喜剧/传记,1990,豆瓣8.3/IMDB8.7
马丁·斯科塞斯,19,出租车司机,剧情/犯罪,1976,豆瓣8.4/IMDB8.4
查理·卓别林,18,城市之光,剧情/喜剧/爱情,1931,豆瓣9.2/IMDB8.6
查理·卓别林,17,淘金记,喜剧/爱情/家庭,1925,豆瓣8.9/IMDB8.3
罗伯特·奥特曼,16,花村,剧情/西部,1971,豆瓣7.5/IMDB7.7
威廉·惠勒,15,黄金时代,剧情/爱情/战争,1946,豆瓣8.1/IMDB8.2
罗伯特·奥特曼,14,纳什维尔,剧情/音乐,1975,豆瓣8.1/IMDB7.8
阿尔弗雷德·希区柯克,13,西北偏北,动作/悬疑/犯罪,1959,豆瓣8.1/IMDB8.4
罗曼·波兰斯基,12,唐人街,剧情/悬疑/惊悚,1974,豆瓣8.3/IMDB8.3
奥逊·威尔斯,11,伟大的安巴逊,剧情/爱情,1942,豆瓣7.7/IMDB7.9
