序号,电影名,年份,类型,导演,评分
67,指环王1：魔戒再现,2001,剧情/动作/奇幻,彼得·杰克逊,豆瓣8.9/IMDB8.8
68,上帝之城,2002,剧情/犯罪,卡迪亚·兰德,豆瓣8.9/IMDB8.7
69,指环王2：双塔奇兵,2002,剧情/动作/奇幻,彼得·杰克逊,豆瓣8.9/IMDB8.7
70,无间道,2002,悬疑/惊悚/犯罪,刘伟强,豆瓣8.9/IMDB8.1
71,被嫌弃的松子的一生,2006,剧情/歌舞,中岛哲也,豆瓣8.9/IMDB8.0
72,当幸福来敲门,2006,剧情/家庭/传记,加布里尔·穆奇诺,豆瓣8.9/IMDB7.9
73,玛丽和马克思,2009,剧情/爱情/动画,亚当·艾略特,豆瓣8.9/IMDB8.2
74,飞屋环游记,2009,剧情/喜剧/动画,彼特·道格特,豆瓣8.9/IMDB8.3
75,怦然心动,2010,剧情/喜剧/爱情,罗伯·莱纳,豆瓣8.9/IMDB7.7
76,勇士,2011,剧情/家庭/运动,加文·欧康诺,豆瓣8.9/IMDB8.2
77,小森林 夏秋篇,2014,剧情,森淳一,豆瓣8.9/IMDB7.8
78,魂断蓝桥,1940,剧情/爱情/战争,茂文·勒鲁瓦,豆瓣8.8/IMDB7.8
79,惊魂记,1960,悬疑/恐怖,阿尔弗雷德·希区柯克,豆瓣8.8/IMDB8.6
80,哪吒闹海,1979,动画/奇幻/冒险,严定宪,豆瓣8.8/IMDB7.7
81,风之谷,1984,科幻/动画/奇幻,宫崎骏,豆瓣8.8/IMDB8.1
82,狮子王,1994,剧情/动画/歌舞,罗杰·阿勒斯,豆瓣8.8/IMDB8.5
83,燃情岁月,1994,剧情/爱情/家庭,爱德华·兹威克,豆瓣8.8/IMDB7.5
84,情书,1995,剧情/爱情,岩井俊二,豆瓣8.8/IMDB8.0
85,勇敢的心,1995,剧情/动作/传记,梅尔·吉布森,豆瓣8.8/IMDB8.4
86,侧耳倾听,1995,剧情/爱情/动画,近藤喜文,豆瓣8.8/IMDB8.0
87,幽灵公主,1997,动画/奇幻/冒险,宫崎骏,豆瓣8.7/IMDB8.4
88,拯救大兵瑞恩,1998,剧情/历史/战争,史蒂文·斯皮尔伯格,豆瓣8.8/IMDB8.6
89,第六感,1999,剧情/悬疑/恐怖,M·奈特·沙马兰,豆瓣8.8/IMDB8.2
90,一一,2000,剧情/爱情/家庭,杨德昌,豆瓣8.9/IMDB8.1
91,我是山姆,2001,剧情/家庭,杰茜·尼尔森,豆瓣8.8/IMDB7.6
92,哈尔的移动城堡,2004,爱情/动画/奇幻,宫崎骏,豆瓣8.8/IMDB8.2
93,卢旺达饭店,2004,剧情/历史/战争,特瑞·乔治,豆瓣8.8/IMDB8.2
94,V字仇杀队,2005,剧情/动作/科幻,詹姆斯·麦克特格,豆瓣8.8/IMDB8.2
95,红辣椒,2006,科幻/动画/悬疑,今敏,豆瓣8.7/IMDB7.7
96,致命魔术,2006,剧情/悬疑/惊悚,克里斯托弗·诺兰,豆瓣8.8/IMDB8.5
97,地球上的星星,2007,剧情/家庭,阿米尔·汗,豆瓣8.8/IMDB8.5
98,穿条纹睡衣的男孩,2008,剧情/战争,马克·赫尔曼,豆瓣8.8/IMDB7.8
99,入殓师,2008,剧情,泷田洋二郎,豆瓣8.8/IMDB8.1
100,阳光姐妹淘,2011,剧情/喜剧,姜炯哲,豆瓣8.8/IMDB7.9
101,萤火之森,2011,剧情/爱情/动画,大森贵弘,豆瓣8.8/IMDB7.9
102,寿司之神,2011,纪录片,大卫·贾柏,豆瓣8.8/IMDB7.9
103,疯狂原始人,2013,喜剧/动画/冒险,柯克·德·米科,豆瓣8.8/IMDB7.3
104,罗生门,1950,剧情/悬疑/犯罪,黑泽明,豆瓣8.7/IMDB8.4
105,英雄本色,1986,动作/犯罪,吴宇森,豆瓣8.7/IMDB7.6
106,末代皇帝,1987,剧情/传记/历史,贝纳尔多·贝托鲁奇,豆瓣8.7/IMDB7.8
107,萤火虫之墓,1988,剧情/动画/战争,高畑勋,豆瓣8.7/IMDB8.5
108,碧海蓝天,1988,剧情/爱情,吕克·贝松,豆瓣8.7/IMDB7.7
109,剪刀手爱德华,1990,剧情/爱情/奇幻,蒂姆·波顿,豆瓣8.7/IMDB8.0
110,教父3,1990,剧情/犯罪,弗朗西斯·福特·科波拉,豆瓣8.7/IMDB7.6
111,纵横四海,1991,剧情/喜剧/动作,吴宇森,豆瓣8.7/IMDB6.8
112,沉默的羔羊,1991,剧情/惊悚/犯罪,乔纳森·戴米,豆瓣8.7/IMDB8.6
113,射雕英雄传之东成西就,1993,喜剧/古装,刘镇伟,豆瓣8.7/IMDB7.4
114,喜宴,1993,剧情/喜剧/爱情,李安,豆瓣8.7/IMDB7.7
115,低俗小说,1994,剧情/犯罪,昆汀·塔伦蒂诺,豆瓣8.7/IMDB8.9
116,阳光灿烂的日子,1994,剧情,姜文,豆瓣8.7/IMDB8.3
117,爱在黎明破晓前,1995,剧情/爱情,理查德·林克莱特,豆瓣8.7/IMDB8.1
118,七宗罪,1995,剧情/悬疑/惊悚,大卫·芬奇,豆瓣8.7/IMDB8.7
119,燕尾蝶,1996,剧情/犯罪,岩井俊二,豆瓣8.7/IMDB7.7
120,甜蜜蜜,1996,剧情/爱情,陈可辛,豆瓣8.7/IMDB8.2
121,春光乍泄,1997,剧情/爱情/同性,王家卫,豆瓣8.7/IMDB7.8
122,未麻的部屋,1997,动画/惊悚/奇幻,今敏,豆瓣8.7/IMDB7.8
123,千钧一发,1997,剧情/爱情/科幻,安德鲁·尼科尔,豆瓣8.7/IMDB7.8
124,心灵捕手,1997,剧情,格斯·范·桑特,豆瓣8.7/IMDB8.3
125,中央车站,1998,剧情,沃尔特·塞勒斯,豆瓣8.7/IMDB8.0
126,黑客帝国,1999,动作/科幻,安迪·沃卓斯基,豆瓣8.7/IMDB8.7
127,菊次郎的夏天,1999,剧情/喜剧,北野武,豆瓣8.7/IMDB7.9
128,绿里奇迹,1999,剧情/悬疑/犯罪,弗兰克·德拉邦特,豆瓣8.7/IMDB8.5
129,跳出我天地,2000,剧情/歌舞/家庭,史蒂芬·戴德利,豆瓣8.7/IMDB7.7
130,梦之安魂曲,2000,剧情,达伦·阿伦诺夫斯基,豆瓣8.7/IMDB8.4
131,天使爱美丽,2001,喜剧/爱情,让-皮埃尔·热内,豆瓣8.8/IMDB8.4
132,猫鼠游戏,2002,剧情/传记/犯罪,史蒂文·斯皮尔伯格,豆瓣8.6/IMDB8.0
